x-axis,1,2,3
second,Volt,Volt,Volt
-7.350000E+00,-80.402E-03,+321.608E-03,+1.206030E+00
-7.347500E+00,-95.477E-03,+241.206E-03,+1.221106E+00
-7.345000E+00,-125.628E-03,+271.357E-03,+1.206030E+00
-7.342500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.340000E+00,-95.477E-03,+256.281E-03,+1.206030E+00
-7.337500E+00,-160.804E-03,+321.608E-03,+1.281407E+00
-7.335000E+00,-140.704E-03,+321.608E-03,+1.286432E+00
-7.332500E+00,-125.628E-03,+271.357E-03,+1.251256E+00
-7.330000E+00,-80.402E-03,+271.357E-03,+1.206030E+00
-7.327500E+00,-80.402E-03,+256.281E-03,+1.286432E+00
-7.325000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.322500E+00,-140.704E-03,+301.508E-03,+1.206030E+00
-7.320000E+00,-80.402E-03,+241.206E-03,+1.236181E+00
-7.317500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.315000E+00,-160.804E-03,+301.508E-03,+1.221106E+00
-7.312500E+00,-80.402E-03,+316.583E-03,+1.206030E+00
-7.310000E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-7.307500E+00,-80.402E-03,+286.432E-03,+1.286432E+00
-7.305000E+00,-125.628E-03,+241.206E-03,+1.236181E+00
-7.302500E+00,-80.402E-03,+256.281E-03,+1.286432E+00
-7.300000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.297500E+00,-80.402E-03,+321.608E-03,+1.266332E+00
-7.295000E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-7.292500E+00,-125.628E-03,+286.432E-03,+1.236181E+00
-7.290000E+00,-140.704E-03,+241.206E-03,+1.221106E+00
-7.287500E+00,-155.779E-03,+241.206E-03,+1.206030E+00
-7.285000E+00,-80.402E-03,+241.206E-03,+1.221106E+00
-7.282500E+00,-80.402E-03,+286.432E-03,+1.236181E+00
-7.280000E+00,-125.628E-03,+271.357E-03,+1.206030E+00
-7.277500E+00,-140.704E-03,+256.281E-03,+1.125628E+00
-7.275000E+00,-155.779E-03,+241.206E-03,+1.125628E+00
-7.272500E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-7.270000E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-7.267500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-7.265000E+00,-140.704E-03,+256.281E-03,+1.045226E+00
-7.262500E+00,-80.402E-03,+316.583E-03,+1.125628E+00
-7.260000E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-7.257500E+00,-125.628E-03,+241.206E-03,+1.125628E+00
-7.255000E+00,-125.628E-03,+321.608E-03,+1.125628E+00
-7.252500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.250000E+00,-155.779E-03,+316.583E-03,+1.125628E+00
-7.247500E+00,-80.402E-03,+256.281E-03,+1.155779E+00
-7.245000E+00,-125.628E-03,+271.357E-03,+1.251256E+00
-7.242500E+00,-80.402E-03,+286.432E-03,+1.206030E+00
-7.240000E+00,-80.402E-03,+241.206E-03,+1.266332E+00
-7.237500E+00,-80.402E-03,+241.206E-03,+1.281407E+00
-7.235000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.232500E+00,-110.553E-03,+241.206E-03,+1.206030E+00
-7.230000E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-7.227500E+00,-80.402E-03,+256.281E-03,+1.221106E+00
-7.225000E+00,-155.779E-03,+241.206E-03,+1.206030E+00
-7.222500E+00,-80.402E-03,+256.281E-03,+1.286432E+00
-7.220000E+00,-80.402E-03,+286.432E-03,+1.236181E+00
-7.217500E+00,-125.628E-03,+271.357E-03,+1.286432E+00
-7.215000E+00,-80.402E-03,+241.206E-03,+1.266332E+00
-7.212500E+00,-155.779E-03,+321.608E-03,+1.125628E+00
-7.210000E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-7.207500E+00,-160.804E-03,+241.206E-03,+1.125628E+00
-7.205000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.202500E+00,-140.704E-03,+301.508E-03,+1.125628E+00
-7.200000E+00,-155.779E-03,+321.608E-03,+1.125628E+00
-7.197500E+00,-160.804E-03,+301.508E-03,+1.125628E+00
-7.195000E+00,-125.628E-03,+286.432E-03,+1.155779E+00
-7.192500E+00,-110.553E-03,+286.432E-03,+1.125628E+00
-7.190000E+00,-140.704E-03,+321.608E-03,+1.125628E+00
-7.187500E+00,-155.779E-03,+241.206E-03,+1.125628E+00
-7.185000E+00,-140.704E-03,+241.206E-03,+1.125628E+00
-7.182500E+00,-125.628E-03,+321.608E-03,+1.125628E+00
-7.180000E+00,-125.628E-03,+271.357E-03,+1.125628E+00
-7.177500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-7.175000E+00,-80.402E-03,+316.583E-03,+1.125628E+00
-7.172500E+00,-140.704E-03,+256.281E-03,+1.125628E+00
-7.170000E+00,-80.402E-03,+271.357E-03,+1.125628E+00
-7.167500E+00,-125.628E-03,+271.357E-03,+1.075377E+00
-7.165000E+00,-95.477E-03,+321.608E-03,+1.125628E+00
-7.162500E+00,-155.779E-03,+241.206E-03,+1.125628E+00
-7.160000E+00,-160.804E-03,+301.508E-03,+1.125628E+00
-7.157500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.155000E+00,-125.628E-03,+321.608E-03,+1.125628E+00
-7.152500E+00,-95.477E-03,+321.608E-03,+1.125628E+00
-7.150000E+00,-155.779E-03,+241.206E-03,+1.286432E+00
-7.147500E+00,-95.477E-03,+321.608E-03,+1.206030E+00
-7.145000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.142500E+00,-110.553E-03,+286.432E-03,+1.236181E+00
-7.140000E+00,-80.402E-03,+321.608E-03,+1.286432E+00
-7.137500E+00,-80.402E-03,+316.583E-03,+1.281407E+00
-7.135000E+00,-140.704E-03,+241.206E-03,+1.221106E+00
-7.132500E+00,-80.402E-03,+241.206E-03,+1.251256E+00
-7.130000E+00,-110.553E-03,+271.357E-03,+1.251256E+00
-7.127500E+00,-140.704E-03,+241.206E-03,+1.206030E+00
-7.125000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.122500E+00,-80.402E-03,+241.206E-03,+1.221106E+00
-7.120000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.117500E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-7.115000E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-7.112500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.110000E+00,-80.402E-03,+256.281E-03,+1.221106E+00
-7.107500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.105000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.102500E+00,-140.704E-03,+241.206E-03,+1.266332E+00
-7.100000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.097500E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-7.095000E+00,-160.804E-03,+241.206E-03,+1.251256E+00
-7.092500E+00,-80.402E-03,+271.357E-03,+1.251256E+00
-7.090000E+00,-140.704E-03,+301.508E-03,+1.140704E+00
-7.087500E+00,-155.779E-03,+316.583E-03,+1.125628E+00
-7.085000E+00,-80.402E-03,+241.206E-03,+1.045226E+00
-7.082500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.080000E+00,-80.402E-03,+271.357E-03,+1.125628E+00
-7.077500E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-7.075000E+00,-160.804E-03,+241.206E-03,+1.125628E+00
-7.072500E+00,-80.402E-03,+301.508E-03,+1.125628E+00
-7.070000E+00,-125.628E-03,+271.357E-03,+1.125628E+00
-7.067500E+00,-125.628E-03,+286.432E-03,+1.125628E+00
-7.065000E+00,-160.804E-03,+241.206E-03,+1.125628E+00
-7.062500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.060000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.057500E+00,-125.628E-03,+286.432E-03,+1.105528E+00
-7.055000E+00,-80.402E-03,+241.206E-03,+1.251256E+00
-7.052500E+00,-95.477E-03,+241.206E-03,+1.286432E+00
-7.050000E+00,-80.402E-03,+316.583E-03,+1.281407E+00
-7.047500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.045000E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-7.042500E+00,-80.402E-03,+286.432E-03,+1.206030E+00
-7.040000E+00,-160.804E-03,+241.206E-03,+1.266332E+00
-7.037500E+00,-80.402E-03,+316.583E-03,+1.281407E+00
-7.035000E+00,-140.704E-03,+241.206E-03,+1.266332E+00
-7.032500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.030000E+00,-125.628E-03,+271.357E-03,+1.251256E+00
-7.027500E+00,-140.704E-03,+301.508E-03,+1.206030E+00
-7.025000E+00,-155.779E-03,+241.206E-03,+1.206030E+00
-7.022500E+00,-140.704E-03,+301.508E-03,+1.221106E+00
-7.020000E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-7.017500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-7.015000E+00,-80.402E-03,+256.281E-03,+1.221106E+00
-7.012500E+00,-80.402E-03,+316.583E-03,+1.201005E+00
-7.010000E+00,-95.477E-03,+241.206E-03,+1.125628E+00
-7.007500E+00,-160.804E-03,+241.206E-03,+1.090452E+00
-7.005000E+00,-110.553E-03,+321.608E-03,+1.090452E+00
-7.002500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-7.000000E+00,-80.402E-03,+316.583E-03,+1.125628E+00
-6.997500E+00,-160.804E-03,+301.508E-03,+1.060301E+00
-6.995000E+00,-80.402E-03,+271.357E-03,+1.075377E+00
-6.992500E+00,-110.553E-03,+286.432E-03,+1.125628E+00
-6.990000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.987500E+00,-155.779E-03,+241.206E-03,+1.125628E+00
-6.985000E+00,-160.804E-03,+241.206E-03,+1.060301E+00
-6.982500E+00,-110.553E-03,+241.206E-03,+1.125628E+00
-6.980000E+00,-160.804E-03,+321.608E-03,+1.125628E+00
-6.977500E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-6.975000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.972500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.970000E+00,-80.402E-03,+241.206E-03,+1.251256E+00
-6.967500E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-6.965000E+00,-160.804E-03,+241.206E-03,+1.206030E+00
-6.962500E+00,-80.402E-03,+316.583E-03,+1.206030E+00
-6.960000E+00,-95.477E-03,+241.206E-03,+1.286432E+00
-6.957500E+00,-160.804E-03,+286.432E-03,+1.251256E+00
-6.955000E+00,-80.402E-03,+286.432E-03,+1.251256E+00
-6.952500E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-6.950000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.947500E+00,-95.477E-03,+241.206E-03,+1.125628E+00
-6.945000E+00,-125.628E-03,+286.432E-03,+1.125628E+00
-6.942500E+00,-125.628E-03,+286.432E-03,+1.125628E+00
-6.940000E+00,-95.477E-03,+256.281E-03,+1.125628E+00
-6.937500E+00,-80.402E-03,+316.583E-03,+1.125628E+00
-6.935000E+00,-140.704E-03,+256.281E-03,+1.125628E+00
-6.932500E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.930000E+00,-160.804E-03,+321.608E-03,+1.125628E+00
-6.927500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.925000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.922500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.920000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.917500E+00,-110.553E-03,+271.357E-03,+1.125628E+00
-6.915000E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.912500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.910000E+00,-95.477E-03,+321.608E-03,+1.105528E+00
-6.907500E+00,-160.804E-03,+286.432E-03,+1.125628E+00
-6.905000E+00,-110.553E-03,+321.608E-03,+1.125628E+00
-6.902500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
-6.900000E+00,-155.779E-03,+321.608E-03,+1.125628E+00
-6.897500E+00,-140.704E-03,+241.206E-03,+1.125628E+00
-6.895000E+00,-80.402E-03,+321.608E-03,+1.125628E+00
-6.892500E+00,-110.553E-03,+286.432E-03,+1.075377E+00
-6.890000E+00,-160.804E-03,+321.608E-03,+1.125628E+00
-6.887500E+00,-80.402E-03,+241.206E-03,+1.125628E+00
